date,close,open,high,low,vol,var
15.03.2016,1734,1726,1735,1683,"0,10K","0,46%"
14.03.2016,1726,1680,1738,1640,"0,13K","2,74%"
13.03.2016,1680,"1706,8","1708,9","1630,2","0,03K","-1,57%"
12.03.2016,"1706,8","1729,2",1733,1696,"0,03K","-1,30%"
11.03.2016,"1729,2",1715,1735,1690,"0,14K","0,83%"
10.03.2016,1715,1720,1738,1700,"0,10K","-0,29%"
09.03.2016,1720,1738,1738,1700,"0,13K","-1,03%"
08.03.2016,1738,1735,1758,1695,"0,13K","0,17%"
07.03.2016,1735,"1703,3",1735,"1691,2","0,10K","1,86%"
06.03.2016,"1703,3",1682,1746,1682,"0,03K","1,27%"
05.03.2016,1682,1739,1745,1660,"0,08K","-3,28%"
04.03.2016,1739,1770,"1789,6","1704,2","0,09K","-1,75%"
03.03.2016,1770,1799,1835,"1750,3","0,15K","-1,61%"
02.03.2016,1799,1821,"1834,9",1786,"0,10K","-1,21%"
01.03.2016,1821,"1810,1",1849,"1810,1","0,12K","0,60%"
29.02.2016,"1810,1",1810,1824,1770,"0,10K","0,01%"
28.02.2016,1810,1810,1810,1780,"0,02K","0,00%"
27.02.2016,1810,"1785,3",1810,"1785,3","0,03K","1,38%"
26.02.2016,"1785,3",1770,1810,1755,"0,07K","0,86%"
25.02.2016,1770,1770,1770,1742,"0,06K","0,00%"
24.02.2016,1770,"1760,5","1821,2",1728,"0,14K","0,54%"
23.02.2016,"1760,5",1825,1825,"1751,2","0,11K","-3,53%"
22.02.2016,1825,1811,1839,"1780,1","0,11K","0,77%"
21.02.2016,1811,1847,1850,1806,"0,04K","-1,95%"
20.02.2016,1847,"1781,2",1847,1775,"0,04K","3,69%"
19.02.2016,"1781,2","1811,9","1811,9",1771,"0,09K","-1,69%"
18.02.2016,"1811,9","1771,9",1814,1751,"0,10K","2,26%"
17.02.2016,"1771,9","1726,6",1800,"1723,1","0,17K","2,63%"
16.02.2016,"1726,6",1747,1747,"1696,3","0,12K","-1,23%"
15.02.2016,1748,1706,1750,1700,"0,09K","2,46%"
14.02.2016,1706,1633,1709,1633,"0,04K","4,47%"
13.02.2016,1633,1609,1655,1609,"0,04K","1,49%"
12.02.2016,1609,"1607,8",1624,1565,"0,14K","0,08%"
11.02.2016,"1607,8","1599,7",1630,1561,"0,12K","0,50%"
10.02.2016,"1599,7","1586,4",1629,1566,"0,11K","0,84%"
09.02.2016,"1586,4",1610,1615,1561,"0,07K","-1,46%"
08.02.2016,1610,1600,1633,1570,"0,09K","0,63%"
07.02.2016,1600,1650,1650,1600,"0,07K","-3,03%"
06.02.2016,1650,1666,1666,"1624,7","0,02K","-0,96%"
05.02.2016,1666,1635,"1666,9",1626,"0,07K","1,90%"
04.02.2016,1635,1620,1667,"1559,1","0,12K","0,62%"
03.02.2016,1625,1661,"1679,6",1601,"0,13K","-2,17%"
02.02.2016,1661,1660,1694,1628,"0,09K","0,06%"
01.02.2016,1660,"1707,9",1715,"1622,5","0,08K","-2,80%"
31.01.2016,"1707,9",1716,"1738,5","1650,9","0,03K","-0,47%"
30.01.2016,1716,1725,"1738,5",1689,"0,03K","-0,52%"
29.01.2016,1725,"1731,9",1732,1650,"0,11K","-0,40%"
28.01.2016,"1731,9",1763,1763,1711,"0,10K","-1,76%"
27.01.2016,1763,1758,1775,1722,"0,11K","0,28%"
26.01.2016,1758,1740,1765,"1707,8","0,11K","1,04%"
25.01.2016,1740,1723,1760,"1712,3","0,06K","0,98%"
24.01.2016,1723,"1707,3",1770,1700,"0,07K","0,92%"
23.01.2016,"1707,3",1713,1735,"1681,2","0,03K","-0,33%"
22.01.2016,1713,1773,1775,"1635,6","0,12K","-3,38%"
21.01.2016,1773,1790,"1797,9","1732,4","0,13K","-0,95%"
20.01.2016,1790,1730,"1798,8",1690,"0,19K","3,47%"
19.01.2016,1730,1789,1789,1715,"0,15K","-3,30%"
18.01.2016,1789,1785,"1799,9",1700,"0,29K","0,22%"
17.01.2016,1785,1775,1810,"1722,2","0,04K","0,56%"
16.01.2016,1775,"1774,9",1775,"1651,1","0,09K","0,00%"
15.01.2016,"1774,9",1905,1906,1710,"0,28K","-6,83%"
14.01.2016,1905,1868,"1906,9",1852,"0,07K","1,98%"
13.01.2016,1868,1940,1940,1849,"0,17K","-3,71%"
12.01.2016,1940,1896,1940,"1876,2","0,10K","2,32%"
11.01.2016,1896,1886,1915,1866,"0,08K","0,53%"
10.01.2016,1886,1897,"1911,1","1865,6","0,02K","-0,58%"
09.01.2016,1897,1880,1915,"1865,5","0,03K","0,90%"
08.01.2016,1880,1949,1955,"1839,8","0,13K","-3,54%"
07.01.2016,1949,1820,"1953,8",1812,"0,20K","7,09%"
06.01.2016,1820,1825,1830,1802,"0,05K","-0,27%"
05.01.2016,1825,"1802,6",1825,"1781,2","0,09K","0,00%"
04.01.2016,1825,1780,1830,"1771,6","0,13K","2,53%"
03.01.2016,1780,1783,1800,1766,"0,04K","-0,17%"
02.01.2016,1783,1818,1818,1769,"0,02K","-1,92%"
01.01.2016,1818,1792,"1821,2","1767,1","0,01K","1,45%"
31.12.2015,1792,1812,1840,"1762,2","0,05K","-1,10%"
30.12.2015,1812,"1787,7","1826,4","1741,3","0,05K","1,36%"
